type,full,abbr,wrong_vis,regex_vis
scr_sp.us,Screen_,SCR_,Screen,(screening|screen|scr)(\_+|\s+)
scr,screen,SCR,Screen,(screening|screen|scr)
s_nosp,Day0,D0,d0,d0(?![:digit:])
s_sp,Day0,D0,d 0,d\s0(?![:digit:])
s_us,Day0,D0,d_0,d\_0(?![:digit:])
f_nosp,Day0,D0,day0,day0(?![:digit:])
f_sp,Day0,D0,day 0,day\s0(?![:digit:])
f_us,Day0,D0,day_0,day\_0(?![:digit:])
abb_nosp,Day0,D0,d0,d0(?![:digit:])
abb_sp,Day0,D0,d 0,d\s0(?![:digit:])
abb_us,Day0,D0,d_0,d\_0(?![:digit:])
s_nosp,Day1,D1,d1,d1(?![:digit:])
s_sp,Day1,D1,d 1,d\s1(?![:digit:])
s_us,Day1,D1,d_1,d\_1(?![:digit:])
f_nosp,Day1,D1,day1,day1(?![:digit:])
f_sp,Day1,D1,day 1,day\s1(?![:digit:])
f_us,Day1,D1,day_1,day\_1(?![:digit:])
abb_nosp,Day1,D1,d1,d1(?![:digit:])
abb_sp,Day1,D1,d 1,d\s1(?![:digit:])
abb_us,Day1,D1,d_1,d\_1(?![:digit:])
s_nosp,Day2,D2,d2,d2(?![:digit:])
s_sp,Day2,D2,d 2,d\s2(?![:digit:])
s_us,Day2,D2,d_2,d\_2(?![:digit:])
f_nosp,Day2,D2,day2,day2(?![:digit:])
f_sp,Day2,D2,day 2,day\s2(?![:digit:])
f_us,Day2,D2,day_2,day\_2(?![:digit:])
abb_nosp,Day2,D2,d2,d2(?![:digit:])
abb_sp,Day2,D2,d 2,d\s2(?![:digit:])
abb_us,Day2,D2,d_2,d\_2(?![:digit:])
s_nosp,Day3,D3,d3,d3(?![:digit:])
s_sp,Day3,D3,d 3,d\s3(?![:digit:])
s_us,Day3,D3,d_3,d\_3(?![:digit:])
f_nosp,Day3,D3,day3,day3(?![:digit:])
f_sp,Day3,D3,day 3,day\s3(?![:digit:])
f_us,Day3,D3,day_3,day\_3(?![:digit:])
abb_nosp,Day3,D3,d3,d3(?![:digit:])
abb_sp,Day3,D3,d 3,d\s3(?![:digit:])
abb_us,Day3,D3,d_3,d\_3(?![:digit:])
s_nosp,Day4,D4,d4,d4(?![:digit:])
s_sp,Day4,D4,d 4,d\s4(?![:digit:])
s_us,Day4,D4,d_4,d\_4(?![:digit:])
f_nosp,Day4,D4,day4,day4(?![:digit:])
f_sp,Day4,D4,day 4,day\s4(?![:digit:])
f_us,Day4,D4,day_4,day\_4(?![:digit:])
abb_nosp,Day4,D4,d4,d4(?![:digit:])
abb_sp,Day4,D4,d 4,d\s4(?![:digit:])
abb_us,Day4,D4,d_4,d\_4(?![:digit:])
s_nosp,Day5,D5,d5,d5(?![:digit:])
s_sp,Day5,D5,d 5,d\s5(?![:digit:])
s_us,Day5,D5,d_5,d\_5(?![:digit:])
f_nosp,Day5,D5,day5,day5(?![:digit:])
f_sp,Day5,D5,day 5,day\s5(?![:digit:])
f_us,Day5,D5,day_5,day\_5(?![:digit:])
abb_nosp,Day5,D5,d5,d5(?![:digit:])
abb_sp,Day5,D5,d 5,d\s5(?![:digit:])
abb_us,Day5,D5,d_5,d\_5(?![:digit:])
s_nosp,Day6,D6,d6,d6(?![:digit:])
s_sp,Day6,D6,d 6,d\s6(?![:digit:])
s_us,Day6,D6,d_6,d\_6(?![:digit:])
f_nosp,Day6,D6,day6,day6(?![:digit:])
f_sp,Day6,D6,day 6,day\s6(?![:digit:])
f_us,Day6,D6,day_6,day\_6(?![:digit:])
abb_nosp,Day6,D6,d6,d6(?![:digit:])
abb_sp,Day6,D6,d 6,d\s6(?![:digit:])
abb_us,Day6,D6,d_6,d\_6(?![:digit:])
s_nosp,Day7,D7,d7,d7(?![:digit:])
s_sp,Day7,D7,d 7,d\s7(?![:digit:])
s_us,Day7,D7,d_7,d\_7(?![:digit:])
f_nosp,Day7,D7,day7,day7(?![:digit:])
f_sp,Day7,D7,day 7,day\s7(?![:digit:])
f_us,Day7,D7,day_7,day\_7(?![:digit:])
abb_nosp,Day7,D7,d7,d7(?![:digit:])
abb_sp,Day7,D7,d 7,d\s7(?![:digit:])
abb_us,Day7,D7,d_7,d\_7(?![:digit:])
s_nosp,Day8,D8,d8,d8(?![:digit:])
s_sp,Day8,D8,d 8,d\s8(?![:digit:])
s_us,Day8,D8,d_8,d\_8(?![:digit:])
f_nosp,Day8,D8,day8,day8(?![:digit:])
f_sp,Day8,D8,day 8,day\s8(?![:digit:])
f_us,Day8,D8,day_8,day\_8(?![:digit:])
abb_nosp,Day8,D8,d8,d8(?![:digit:])
abb_sp,Day8,D8,d 8,d\s8(?![:digit:])
abb_us,Day8,D8,d_8,d\_8(?![:digit:])
s_nosp,Day9,D9,d9,d9(?![:digit:])
s_sp,Day9,D9,d 9,d\s9(?![:digit:])
s_us,Day9,D9,d_9,d\_9(?![:digit:])
f_nosp,Day9,D9,day9,day9(?![:digit:])
f_sp,Day9,D9,day 9,day\s9(?![:digit:])
f_us,Day9,D9,day_9,day\_9(?![:digit:])
abb_nosp,Day9,D9,d9,d9(?![:digit:])
abb_sp,Day9,D9,d 9,d\s9(?![:digit:])
abb_us,Day9,D9,d_9,d\_9(?![:digit:])
s_nosp,Day10,D10,d10,d10(?![:digit:])
s_sp,Day10,D10,d 10,d\s10(?![:digit:])
s_us,Day10,D10,d_10,d\_10(?![:digit:])
f_nosp,Day10,D10,day10,day10(?![:digit:])
f_sp,Day10,D10,day 10,day\s10(?![:digit:])
f_us,Day10,D10,day_10,day\_10(?![:digit:])
abb_nosp,Day10,D10,d10,d10(?![:digit:])
abb_sp,Day10,D10,d 10,d\s10(?![:digit:])
abb_us,Day10,D10,d_10,d\_10(?![:digit:])
s_nosp,Day11,D11,d11,d11(?![:digit:])
s_sp,Day11,D11,d 11,d\s11(?![:digit:])
s_us,Day11,D11,d_11,d\_11(?![:digit:])
f_nosp,Day11,D11,day11,day11(?![:digit:])
f_sp,Day11,D11,day 11,day\s11(?![:digit:])
f_us,Day11,D11,day_11,day\_11(?![:digit:])
abb_nosp,Day11,D11,d11,d11(?![:digit:])
abb_sp,Day11,D11,d 11,d\s11(?![:digit:])
abb_us,Day11,D11,d_11,d\_11(?![:digit:])
s_nosp,Day12,D12,d12,d12(?![:digit:])
s_sp,Day12,D12,d 12,d\s12(?![:digit:])
s_us,Day12,D12,d_12,d\_12(?![:digit:])
f_nosp,Day12,D12,day12,day12(?![:digit:])
f_sp,Day12,D12,day 12,day\s12(?![:digit:])
f_us,Day12,D12,day_12,day\_12(?![:digit:])
abb_nosp,Day12,D12,d12,d12(?![:digit:])
abb_sp,Day12,D12,d 12,d\s12(?![:digit:])
abb_us,Day12,D12,d_12,d\_12(?![:digit:])
s_nosp,Day13,D13,d13,d13(?![:digit:])
s_sp,Day13,D13,d 13,d\s13(?![:digit:])
s_us,Day13,D13,d_13,d\_13(?![:digit:])
f_nosp,Day13,D13,day13,day13(?![:digit:])
f_sp,Day13,D13,day 13,day\s13(?![:digit:])
f_us,Day13,D13,day_13,day\_13(?![:digit:])
abb_nosp,Day13,D13,d13,d13(?![:digit:])
abb_sp,Day13,D13,d 13,d\s13(?![:digit:])
abb_us,Day13,D13,d_13,d\_13(?![:digit:])
s_nosp,Day14,D14,d14,d14(?![:digit:])
s_sp,Day14,D14,d 14,d\s14(?![:digit:])
s_us,Day14,D14,d_14,d\_14(?![:digit:])
f_nosp,Day14,D14,day14,day14(?![:digit:])
f_sp,Day14,D14,day 14,day\s14(?![:digit:])
f_us,Day14,D14,day_14,day\_14(?![:digit:])
abb_nosp,Day14,D14,d14,d14(?![:digit:])
abb_sp,Day14,D14,d 14,d\s14(?![:digit:])
abb_us,Day14,D14,d_14,d\_14(?![:digit:])
s_nosp,Day15,D15,d15,d15(?![:digit:])
s_sp,Day15,D15,d 15,d\s15(?![:digit:])
s_us,Day15,D15,d_15,d\_15(?![:digit:])
f_nosp,Day15,D15,day15,day15(?![:digit:])
f_sp,Day15,D15,day 15,day\s15(?![:digit:])
f_us,Day15,D15,day_15,day\_15(?![:digit:])
abb_nosp,Day15,D15,d15,d15(?![:digit:])
abb_sp,Day15,D15,d 15,d\s15(?![:digit:])
abb_us,Day15,D15,d_15,d\_15(?![:digit:])
s_nosp,Day16,D16,d16,d16(?![:digit:])
s_sp,Day16,D16,d 16,d\s16(?![:digit:])
s_us,Day16,D16,d_16,d\_16(?![:digit:])
f_nosp,Day16,D16,day16,day16(?![:digit:])
f_sp,Day16,D16,day 16,day\s16(?![:digit:])
f_us,Day16,D16,day_16,day\_16(?![:digit:])
abb_nosp,Day16,D16,d16,d16(?![:digit:])
abb_sp,Day16,D16,d 16,d\s16(?![:digit:])
abb_us,Day16,D16,d_16,d\_16(?![:digit:])
s_nosp,Day17,D17,d17,d17(?![:digit:])
s_sp,Day17,D17,d 17,d\s17(?![:digit:])
s_us,Day17,D17,d_17,d\_17(?![:digit:])
f_nosp,Day17,D17,day17,day17(?![:digit:])
f_sp,Day17,D17,day 17,day\s17(?![:digit:])
f_us,Day17,D17,day_17,day\_17(?![:digit:])
abb_nosp,Day17,D17,d17,d17(?![:digit:])
abb_sp,Day17,D17,d 17,d\s17(?![:digit:])
abb_us,Day17,D17,d_17,d\_17(?![:digit:])
s_nosp,Day18,D18,d18,d18(?![:digit:])
s_sp,Day18,D18,d 18,d\s18(?![:digit:])
s_us,Day18,D18,d_18,d\_18(?![:digit:])
f_nosp,Day18,D18,day18,day18(?![:digit:])
f_sp,Day18,D18,day 18,day\s18(?![:digit:])
f_us,Day18,D18,day_18,day\_18(?![:digit:])
abb_nosp,Day18,D18,d18,d18(?![:digit:])
abb_sp,Day18,D18,d 18,d\s18(?![:digit:])
abb_us,Day18,D18,d_18,d\_18(?![:digit:])
s_nosp,Day19,D19,d19,d19(?![:digit:])
s_sp,Day19,D19,d 19,d\s19(?![:digit:])
s_us,Day19,D19,d_19,d\_19(?![:digit:])
f_nosp,Day19,D19,day19,day19(?![:digit:])
f_sp,Day19,D19,day 19,day\s19(?![:digit:])
